学校名称	英文名称
安徽涉外经济职业学院	Anhui foreign economic vocational college
合肥共达职业技术学院	Hefei gongda vocational and technical college
徽商职业学院	Huishang vocational college
马鞍山职业技术学院	Ma on shan vocational and technical college
安徽矿业职业技术学院	Anhui mining vocational and technical college
桐城师范高等专科学校	Tongcheng normal college
黄山职业技术学院	Huangshan vocational and technical college
滁州城市职业学院	Chuzhou city vocational college
合肥幼儿师范高等专科学校	Hefei children's normal college
安徽粮食工程职业学院	Anhui grain engineering vocational college
安徽人口职业学院	Anhui population vocational college
合肥科技职业学院	Hefei vocational college of science and technology
皖北卫生职业学院	Anhui north health vocational college
福建师范大学福清分校	Fuqing branch of fujian normal university
福建船政交通职业学院	Fujian shipping administration transportation vocational college
漳州职业技术学院	Zhangzhou vocational and technical college
闽西职业技术学院	Minxi vocational and technical college
黎明职业大学	Dawn vocational university
福建华南女子职业学院	Fujian south China women's vocational college
福州职业技术学院	Fuzhou vocational and technical college
福建林业职业技术学院	Fujian forestry vocational and technical college
福建信息职业技术学院	Fujian institute of information technology
福建水利电力职业技术学院	Fujian technical college of water conservancy and electric power
福建电力职业技术学院	Fujian electric power vocational and technical college
厦门海洋职业技术学院	Xiamen college of Marine technology
福建农业职业技术学院	Fujian agricultural vocational and technical college
福建卫生职业技术学院	Fujian health vocational and technical college
泉州医学高等专科学校	Quanzhou medical college
福州英华职业学院	Fuzhou yinghua vocational college
泉州纺织服装职业学院	Quanzhou textile and clothing vocational college
泉州华光职业学院	Quanzhou huaguang vocational college
泉州理工职业学院	Quanzhou institute of technology
闽北职业技术学院	North fujian vocational and technical college
福州黎明职业技术学院	Fuzhou liming vocational and technical college
厦门华天涉外职业技术学院	Xiamen huatian foreign - related vocational and technical college
福州科技职业技术学院	Fuzhou college of science and technology
泉州经贸职业技术学院	Quanzhou college of economics and trade
福建对外经济贸易职业技术学院	Fujian vocational college of foreign economic and trade
湄洲湾职业技术学院	Meizhou bay vocational and technical college
福建生物工程职业技术学院	Fujian institute of biological engineering
福建艺术职业学院	Fujian art vocational college
福建幼儿师范高等专科学校	Fujian junior normal college
厦门城市职业学院	Xiamen city vocational college
德化陶瓷职业技术学院	Dehua ceramic vocational technical college
三明职业技术学院	Sanming vocational and technical college
宁德职业技术学院	Ningde vocational and technical college
福州软件职业技术学院	Fuzhou software vocational technical college
厦门兴才职业技术学院	Xiamen xingcai vocational and technical college
厦门软件职业技术学院	Xiamen university of software technology
福建体育职业技术学院	Fujian sports vocational and technical college
漳州城市职业学院	Zhangzhou city vocational college
厦门南洋职业学院	Xiamen nanyang vocational college
厦门东海职业技术学院	Xiamen donghai vocational and technical college
漳州科技职业学院	Zhangzhou institute of science and technology
漳州理工职业学院	Zhangzhou institute of technology
武夷山职业学院	Wuyishan vocational college
漳州卫生职业学院	Zhangzhou health vocational college
泉州海洋职业学院	Quanzhou Marine vocational college
泉州轻工职业学院	Quanzhou light industry vocational college
厦门安防科技职业学院	Xiamen security technology vocational college
泉州幼儿师范高等专科学校	Quanzhou junior normal college
闽江师范高等专科学校	Minjiang normal college
江西工业职业技术学院	Jiangxi institute of industrial technology
江西医学高等专科学校	Jiangxi medical college
九江职业大学	Jiujiang vocational university
九江职业技术学院	Jiujiang vocational and technical college
江西旅游商贸职业学院	Jiangxi tourist trade vocational college
江西电力职业技术学院	Jiangxi electric power technical college
江西环境工程职业学院	Jiangxi vocational college of environmental engineering
江西信息应用职业技术学院	Jiangxi vocational college of information application
江西交通职业技术学院	Jiangxi jiaotong vocational and technical college
江西财经职业学院	Jiangxi university of finance and economics
江西应用技术职业学院	Jiangxi college of applied technology
江西现代职业技术学院	Jiangxi modern vocational and technical college
江西工业工程职业技术学院	Jiangxi college of industrial engineering
江西机电职业技术学院	Jiangxi institute of mechanical and electrical technology
南昌职业学院	Nanchang vocational college
江西外语外贸职业学院	Jiangxi vocational college of foreign language and trade
江西工业贸易职业技术学院	Jiangxi institute of industry and trade
宜春职业技术学院	Yichun vocational and technical college
江西生物科技职业学院	Jiangxi biotechnology vocational college
江西建设职业技术学院	Jiangxi construction vocational and technical college
南昌师范高等专科学校	Nanchang normal college
江西中医药高等专科学校	Jiangxi college of traditional Chinese medicine
江西制造职业技术学院	Jiangxi institute of manufacturing technology
江西青年职业学院	Jiangxi youth vocational college
上饶职业技术学院	Shangrao vocational and technical college
江西农业工程职业学院	Jiangxi agricultural engineering vocational college
江西卫生职业学院	Jiangxi health vocational college
江西新能源科技职业学院	Jiangxi new energy technology vocational college
江西冶金职业技术学院	Jiangxi metallurgical technical college
江西工商职业技术学院	"Jiangxi college of commerce, industry and technology"
景德镇陶瓷职业技术学院	Jingdezhen ceramic vocational technical college
赣州师范高等专科学校	Ganzhou normal college
江西水利职业学院	Jiangxi university of water resources
宜春幼儿师范高等专科学校	Yichun infant normal college
吉安职业技术学院	Ji 'an vocational and technical college
赣南卫生健康职业学院	Gannan health vocational college
山东医学高等专科学校	Shandong medical college
菏泽医学专科学校	Heze medical college
日照职业技术学院	Rizhao college of vocational technology
青岛职业技术学院	Qingdao institute of vocational technology
威海职业学院	Weihai vocational college
山东劳动职业技术学院	Shandong institute of labor technology
莱芜职业技术学院	Laiwu vocational and technical college
潍坊职业学院	Weifang vocational college
烟台职业学院	Yantai vocational college
聊城职业技术学院	Liaocheng vocational and technical college
滨州职业学院	Binzhou vocational college
山东科技职业学院	Shandong university of science and technology
山东服装职业学院	Shandong garment vocational college
山东力明科技职业学院	Shandong liming technology vocational college
山东水利职业学院	Shandong institute of water resources
山东畜牧兽医职业学院	Shandong animal husbandry and veterinary college
东营科技职业学院	Dongying vocational college of science and technology
山东交通职业学院	Shandong jiaotong vocational college
青岛酒店管理职业技术学院	Qingdao hotel management vocational and technical college
青岛港湾职业技术学院	Qingdao harbor vocational and technical college
山东经贸职业学院	Shandong economic and trade vocational college
山东工业职业学院	Shandong institute of technology
青岛求实职业技术学院	Qingdao practical vocational and technical college
烟台工程职业技术学院	Yantai engineering vocational technical college
山东凯文科技职业学院	Shandong Kevin science and technology vocational college
潍坊工商职业学院	Weifang industrial and commercial college
德州职业技术学院	Texas polytechnic institute
枣庄科技职业学院	Zaozhuang technical vocational college
山东中医药高等专科学校	Shandong college of traditional Chinese medicine
济南工程职业技术学院	Jinan institute of engineering technology
山东电子职业技术学院	Shandong electronic vocational and technical college
泰山职业技术学院	Taishan vocational and technical college
山东药品食品职业学院	Shandong pharmaceutical and food vocational college
山东商务职业学院	Shandong business vocational college
山东轻工职业学院	Shandong light industry vocational college
山东城市建设职业学院	Shandong city construction vocational college
烟台汽车工程职业学院	Yantai college of automotive engineering
临沂职业学院	Linyi vocational college
枣庄职业学院	Zaozhuang vocational college
山东理工职业学院	Shandong institute of technology
青岛远洋船员职业学院	Qingdao ocean seaman vocational college
济南护理职业学院	Jinan nursing vocational college
泰山护理职业学院	Taishan nursing vocational college
山东海事职业学院	Shandong maritime vocational college
山东特殊教育职业学院	Shandong special education vocational college
三门峡职业技术学院	Sanmenxia vocational and technical college
焦作大学	Jiaozuo university
郑州电力高等专科学校	Zhengzhou electric power technical college
黄河水利职业技术学院	Yellow River water conservancy technical college
焦作师范高等专科学校	Jiaozuo normal college
漯河医学高等专科学校	Luohe medical college
南阳医学高等专科学校	Nanyang medical college
商丘医学高等专科学校	Shangqiu medical college
武汉职业技术学院	Wuhan institute of vocational technology
黄冈职业技术学院	Huanggang vocational and technical college
长江职业学院	Yangtze river vocational college
荆州理工职业学院	Jingzhou institute of technology
鄂州职业大学	Ezhou vocational university
湖北职业技术学院	Hubei institute of vocational technology
武汉船舶职业技术学院	Wuhan institute of shipping technology
襄阳职业技术学院	Xiangyang vocational and technical college
武汉工程职业技术学院	Wuhan institute of engineering and technology
仙桃职业学院	Xiantao vocational college
湖北交通职业技术学院	Hubei jiaotong vocational and technical college
湖北中医药高等专科学校	Hubei university of traditional Chinese medicine
武汉航海职业技术学院	Wuhan institute of navigation technology
武汉铁路职业技术学院	Wuhan railway vocational and technical college
湖北三峡职业技术学院	Hubei three gorges institute of vocational technology
武汉电力职业技术学院	Wuhan electric power vocational and technical college
湖北水利水电职业技术学院	"Hubei institute of water conservancy, hydropower and vocational technology"
湖北生物科技职业学院	Hubei biotechnology vocational college
武汉交通职业学院	Wuhan jiaotong vocational college
咸宁职业技术学院	Xianning vocational and technical college
湖北生态工程职业技术学院	Hubei institute of ecological engineering
荆门职业学院	Jingmen vocational college
长沙民政职业技术学院	Changsha institute of civil affairs
湖南工业职业技术学院	Hunan institute of industrial technology
湖南信息职业技术学院	Hunan institute of information technology
长沙航空职业技术学院	Changsha aviation vocational and technical college
湖南铁道职业技术学院	Hunan railway vocational and technical college
湖南科技职业学院	Hunan institute of science and technology
湖南生物机电职业技术学院	Hunan institute of biomedical engineering
湖南交通职业技术学院	Hunan transportation vocational and technical college
湖南商务职业技术学院	Hunan business vocational and technical college
湖南工程职业技术学院	Hunan institute of engineering
湖南环境生物职业技术学院	Hunan institute of environmental biotechnology
湖南邮电职业技术学院	Hunan college of posts and telecommunications
湘潭医卫职业技术学院	Xiangtan medical health vocational technical college
郴州职业技术学院	Chenzhou vocational and technical college
娄底职业技术学院	Loudi vocational and technical college
长沙环境保护职业技术学院	Changsha vocational college of environmental protection
湖南机电职业技术学院	Hunan institute of mechanical and electrical technology
长沙职业技术学院	Changsha institute of vocational technology
怀化职业技术学院	Huaihua vocational and technical college
岳阳职业技术学院	Yueyang vocational and technical college
常德职业技术学院	Changde vocational and technical college
湖南化工职业技术学院	Hunan institute of chemical technology
湖南城建职业技术学院	Hunan urban construction vocational and technical college
湖南石油化工职业技术学院	Hunan institute of petroleum and chemical technology
湖南中医药高等专科学校	Hunan college of traditional Chinese medicine
湘西民族职业技术学院	Xiangxi ethnic vocational and technical college
湖南财经工业职业技术学院	"Hunan university of finance, economics, industry and technology"
湖南九嶷职业技术学院	Hunan jiuyi vocational technical college
湖南理工职业技术学院	Hunan institute of technology
湖南软件职业学院	Hunan software vocational college
湖南汽车工程职业学院	Hunan automobile engineering vocational college
长沙电力职业技术学院	Changsha electric power vocational and technical college
湖南水利水电职业技术学院	Hunan institute of water resources and hydropower
湖南现代物流职业技术学院	Hunan modern logistics vocational and technical college
湖南高速铁路职业技术学院	Hunan high speed railway vocational and technical college
湖南铁路科技职业技术学院	Hunan railway technology vocational technical college
湖南安全技术职业学院	Hunan institute of safety technology
湖南电气职业技术学院	Hunan institute of electrical technology
益阳医学高等专科学校	Yiyang medical college
湖南都市职业学院	Hunan urban vocational college
湖南电子科技职业学院	Hunan electronic technology vocational college
湖南国防工业职业技术学院	Hunan national defense industry vocational and technical college
湖南高尔夫旅游职业学院	Hunan golf and tourism vocational college
长沙卫生职业学院	Changsha health vocational college
湖南食品药品职业学院	Hunan food and drug vocational college
湖南有色金属职业技术学院	Hunan non-ferrous metal vocational technical college
湖南劳动人事职业学院	Hunan institute of labor and human resources
湖南幼儿师范高等专科学校	Hunan infant normal college
顺德职业技术学院	Shunde college of vocational technology
广东轻工职业技术学院	Guangdong light industry vocational and technical college
广东交通职业技术学院	Guangdong jiaotong vocational and technical college
广东水利电力职业技术学院	Guangdong institute of water and power technology
深圳职业技术学院	Shenzhen polytechnic institute
广州民航职业技术学院	Guangzhou civil aviation vocational and technical college
番禺职业技术学院	Panyu vocational and technical college
广东松山职业技术学院	Guangdong songshan vocational and technical college
广东农工商职业技术学院	"Guangdong college of agriculture, industry and commerce"
佛山职业技术学院	Foshan vocational and technical college
广东科学技术职业学院	Guangdong vocational college of science and technology
广东食品药品职业学院	Guangdong vocational college of food and drug
广东职业技术学院	Guangdong vocational and technical college
广东建设职业技术学院	Guangdong construction vocational and technical college
广东机电职业技术学院	Guangdong institute of mechanical and electrical technology
广东岭南职业技术学院	Guangdong lingnan vocational and technical college
河源职业技术学院	Heyuan vocational and technical college
广东邮电职业技术学院	Guangdong college of posts and telecommunications
汕头职业技术学院	Shantou vocational and technical college
揭阳职业技术学院	Jieyang vocational and technical college
深圳信息职业技术学院	Shenzhen institute of information technology
清远职业技术学院	Qingyuan vocational and technical college
广东工贸职业技术学院	Guangdong technical college of industry and trade
广州工程技术职业学院	Guangzhou institute of engineering and technology
中山火炬职业技术学院	Zhongshan torch vocational and technical college
江门职业技术学院	Jiangmen vocational and technical college
茂名职业技术学院	Maoming vocational and technical college
珠海城市职业技术学院	Zhuhai city vocational and technical college
广州南洋理工职业学院	Guangzhou nanyang institute of technology
广州科技职业技术学院	Guangzhou college of science and technology
广东工商职业学院	Guangdong college of commerce and industry
肇庆医学高等专科学校	Zhaoqing medical college
广州现代信息工程职业技术学院	Guangzhou institute of modern information engineering
广东理工职业学院	Guangdong institute of technology
广州华立科技职业学院	Guangzhou huali technology vocational college
广州城市职业学院	Guangzhou city vocational college
广东工程职业技术学院	Guangdong technical college of engineering
广州铁路职业技术学院	Guangzhou railway vocational and technical college
广东科贸职业学院	Guangdong university of science and trade
广州科技贸易职业学院	Guangzhou institute of technology and trade
中山职业技术学院	Zhongshan vocational and technical college
广州城建职业学院	Guangzhou urban construction vocational college
东莞职业技术学院	Dongguan institute of vocational technology
广东环境保护工程职业学院	Guangdong vocational college of environmental protection engineering
广东创新科技职业学院	Guangdong vocational college of innovation and technology
惠州卫生职业技术学院	Huizhou health vocational and technical college
广东信息工程职业学院	Guangdong information engineering vocational college
广东生态工程职业学院	Guangdong vocational college of ecological engineering
惠州城市职业学院	Huizhou city vocational college
广州卫生职业技术学院	Guangzhou health vocational and technical college
广西机电职业技术学院	Guangxi institute of mechanical and electrical technology
南宁职业技术学院	Nanning vocational and technical college
广西水利电力职业技术学院	Guangxi university of hydraulic and electric power
桂林师范高等专科学校	Guilin normal college
广西职业技术学院	Guangxi vocational and technical college
柳州职业技术学院	Liuzhou vocational and technical college
广西生态工程职业技术学院	Guangxi institute of ecological engineering
广西交通职业技术学院	Guangxi transportation vocational and technical college
广西工业职业技术学院	Guangxi institute of industrial technology
广西农业职业技术学院	Guangxi vocational college of agriculture
柳州铁道职业技术学院	Liuzhou railway vocational and technical college
广西建设职业技术学院	Guangxi construction vocational and technical college
广西现代职业技术学院	Guangxi institute of modern vocational technology
北海职业学院	Beihai vocational college
桂林山水职业学院	Guilin landscape vocational college
广西工商职业技术学院	"Guangxi college of commerce, industry and technology"
广西电力职业技术学院	Guangxi electric power vocational and technical college
广西城市职业学院	Guangxi city vocational college
广西英华国际职业学院	Guangxi yinghua international vocational college
百色职业学院	Polychrome vocational college
广西工程职业学院	Guangxi engineering vocational college
广西理工职业技术学院	Guangxi institute of technology
梧州职业学院	Wuzhou vocational college
广西科技职业学院	Guangxi university of science and technology
广西卫生职业技术学院	Guangxi health vocational and technical college
海南职业技术学院	Hainan vocational and technical college
海南软件职业技术学院	Hainan software vocational and technical college
海南经贸职业技术学院	Hainan economic and trade vocational and technical college
海南工商职业学院	Hainan university of commerce and industry
三亚航空旅游职业学院	Sanya aviation tourism vocational college
海南科技职业学院	Hainan university of science and technology
三亚理工职业学院	Sanya institute of technology
重庆航天职业技术学院	Chongqing university of aeronautics and astronautics
重庆电力高等专科学校	Chongqing electric power technical college
重庆工业职业技术学院	Chongqing institute of industrial technology
重庆三峡职业学院	Chongqing three gorges vocational college
重庆工贸职业技术学院	Chongqing institute of industry and trade
重庆机电职业技术学院	Chongqing institute of mechanical and electrical technology
重庆电子工程职业学院	Chongqing electronic engineering vocational college
重庆信息技术职业学院	Chongqing information technology vocational college
重庆城市管理职业学院	Chongqing city management vocational college
重庆工程职业技术学院	Chongqing institute of engineering
重庆房地产职业学院	Chongqing real estate vocational college
重庆水利电力职业技术学院	Chongqing institute of water and power technology
重庆工商职业学院	Chongqing college of commerce and industry
重庆应用技术职业学院	Chongqing institute of applied technology
重庆三峡医药高等专科学校	Chongqing three gorges medical college
重庆医药高等专科学校	Chongqing medical college
重庆青年职业技术学院	Chongqing youth vocational and technical college
重庆科创职业学院	Chongqing science and innovation vocational college
重庆建筑工程职业学院	Chongqing institute of architectural engineering
重庆电讯职业学院	Chongqing telecommunications vocational college
重庆能源职业学院	Chongqing energy vocational college
重庆商务职业学院	Chongqing business vocational college
重庆交通职业学院	Chongqing jiaotong vocational college
重庆化工职业学院	Chongqing institute of chemical technology
重庆旅游职业学院	Chongqing tourism vocational college
重庆安全技术职业学院	Chongqing institute of safety technology
重庆公共运输职业学院	Chongqing vocational college of public transport
重庆轻工职业学院	Chongqing light industry vocational college
重庆电信职业学院	Chongqing telecom vocational college
重庆经贸职业学院	Chongqing economic and trade vocational college
重庆幼儿师范高等专科学校	Chongqing infant normal college
成都纺织高等专科	Chengdu textile college
民办四川天一学院	Private sichuan tianyi college
成都航空职业技术学院	Chengdu aviation vocational and technical college
成都职业技术学院	Chengdu vocational and technical college
四川化工职业技术学院	Sichuan institute of chemical technology
四川水利职业技术学院	Sichuan college of water conservancy
南充职业技术学院	Nanchong vocational and technical college
内江职业技术学院	Neijiang institute of vocational technology
四川航天职业技术学院	Sichuan university of aeronautics and astronautics
四川邮电职业技术学院	Sichuan vocational college of posts and telecommunications
四川机电职业技术学院	Sichuan institute of mechanical and electrical technology
绵阳职业技术学院	Mianyang vocational and technical college
四川交通职业技术学院	Sichuan transportation vocational and technical college
四川工商职业技术学院	"Sichuan college of commerce, industry and technology"
四川工程职业技术学院	Sichuan engineering vocational and technical college
四川建筑职业技术学院	Sichuan vocational college of architecture
达州职业技术学院	Dazhou vocational and technical college
四川托普信息技术职业学院	Sichuan topp information technology vocational college
四川国际标榜职业学院	Sichuan international brand vocational college
成都农业科技职业学院	Chengdu agricultural science and technology vocational college
泸州职业技术学院	Luzhou vocational and technical college
眉山职业技术学院	Meishan vocational and technical college
四川职业技术学院	Sichuan vocational and technical college
乐山职业技术学院	Leshan vocational and technical college
雅安职业技术学院	Ya 'an vocational and technical college
广安职业技术学院	Guang 'an vocational and technical college
四川信息职业技术学院	Sichuan institute of information technology
四川华新现代职业学院	Sichuan huaxin modern vocational college
四川管理职业学院	Sichuan management vocational college
四川中医药高等专科学校	Sichuan university of traditional Chinese medicine
四川文化产业职业学院	Sichuan vocational college of cultural industry
四川城市职业学院	Sichuan city vocational college
四川现代职业学院	Sichuan modern vocational college
四川幼儿师范高等专科学校	Sichuan infant normal college
四川长江职业学院	Sichuan changjiang vocational college
川北幼儿师范高等专科学校	North sichuan infant normal college
四川汽车职业技术学院	Sichuan automotive vocational and technical college
巴中职业技术学院	Bazhong vocational and technical college
四川文轩职业学院	Sichuan wenxuan vocational college
川南幼儿师范高等专科学校	South sichuan infant normal college
四川护理职业学院	Sichuan nursing vocational college
四川西南航空职业学院	Sichuan southwest aviation vocational college
成都工贸职业技术学院	Chengdu institute of industry and trade
四川应用技术职业学院	Sichuan institute of applied technology
黔南民族医学高等专科学校	Qiannan college of ethnic medicine
贵州警官职业学院	Guizhou police vocational college
贵州交通职业技术学院	Guizhou transportation vocational and technical college
贵州航天职业技术学院	Guizhou aerospace technical college
贵州电子信息职业技术学院	Guizhou institute of electronic information technology
安顺职业技术学院	Anshun college of vocational technology
黔东南民族职业技术学院	Qiandongnan ethnic vocational and technical college
黔南民族职业技术学院	Qiannan ethnic vocational and technical college
遵义职业技术学院	Zunyi vocational and technical college
贵州城市职业学院	Guizhou city vocational college
贵州工业职业技术学院	Guizhou institute of industrial technology
六盘水职业技术学院	Liupanshui vocational and technical college
铜仁职业技术学院	Tongren vocational and technical college
黔西南民族职业技术学院	Southwest guizhou institute of ethnic vocational technology
贵州轻工职业技术学院	Guizhou light industry vocational and technical college
遵义医药高等专科学校	Zunyi medical college
贵阳护理职业学院	Guiyang nursing vocational college
贵阳职业技术学院	Guiyang vocational and technical college
毕节职业技术学院	Bijie vocational and technical college
毕节医学高等专科学校	Bijie medical college
贵州职业技术学院	Guizhou institute of vocational technology
昆明冶金高等专科学校	Kunming metallurgical college
云南国土资源职业学院	Yunnan land and resources vocational college
云南交通职业技术学院	Yunnan transportation vocational and technical college
云南农业职业技术学院	Yunnan vocational college of agriculture
西双版纳职业技术学院	Xishuangbanna vocational and technical college
玉溪农业职业技术学院	Yuxi agricultural vocational and technical college
云南能源职业技术学院	Yunnan energy vocational and technical college
云南国防工业职业技术学院	Yunnan national defense industry vocational and technical college
云南机电职业技术学院	Yunnan institute of mechanical and electrical technology
云南林业职业技术学院	Yunnan vocational college of forestry
曲靖医学高等专科学校	Qujing medical college
楚雄医药高等专科学校	Chuxiong medical college
保山中医药高等专科学校	Baoshan college of traditional Chinese medicine
德宏师范高等专科学校	Dehong normal college
云南锡业职业技术学院	Yunnan tin vocational and technical college
云南商务职业学院	Yunnan business vocational college
昆明卫生职业学院	Kunming health vocational college
红河卫生职业学院	Red river health vocational college
云南外事外语职业学院	Yunnan vocational college of foreign affairs and foreign languages
大理农林职业技术学院	Dali college of agriculture and forestry
昭通卫生职业学院	Zhaotong health vocational college
云南水利水电职业学院	Yunnan institute of water resources and hydropower
陕西工业职业技术学院	Shaanxi institute of industrial technology
杨凌职业技术学院	Yang ling college of vocational technology
西安电力高等专科学校	Xi 'an electric power technical college
陕西能源职业技术学院	Shaanxi energy vocational and technical college
陕西国防工业职业技术学院	Shaanxi national defense industry vocational and technical college
西安航空职业技术学院	Xi 'an aviation vocational and technical college
陕西交通职业技术学院	Shaanxi jiaotong vocational and technical college
陕西职业技术学院	Shaanxi vocational and technical college
西安高新科技职业学院	Xi 'an hi-tech vocational college
陕西铁路工程职业技术学院	Shaanxi railway engineering vocational technical college
宝鸡职业技术学院	Baoji vocational and technical college
陕西航空职业技术学院	Shaanxi aviation vocational and technical college
陕西邮电职业技术学院	Shaanxi university of posts and telecommunications
西安海棠职业学院	Xi 'an haitang vocational college
西安汽车科技职业学院	Xi 'an automobile technology vocational college
西安铁路职业技术学院	Xi 'an railway vocational and technical college
咸阳职业技术学院	Xianyang vocational and technical college
西安职业技术学院	Xi 'an vocational and technical college
商洛职业技术学院	Shangluo vocational and technical college
汉中职业技术学院	Hanzhong vocational and technical college
延安职业技术学院	Yan 'an vocational and technical college
渭南职业技术学院	Weinan college of vocational technology
安康职业技术学院	Ankang college of vocational technology
陕西电子科技职业学院	Shaanxi electronic technology vocational college
西安医学高等专科学校	Xi 'an medical college
榆林职业技术学院	Yulin college of vocational technology
陕西机电职业技术学院	Shaanxi institute of mechanical and electrical technology
兰州石化职业技术学院	Lanzhou petrochemical technical college
陇南师范高等专科学校	Longnan normal college
甘肃建筑职业技术学院	Gansu institute of construction technology
酒泉职业技术学院	Jiuquan vocational and technical college
兰州职业技术学院	Lanzhou vocational and technical college
甘肃林业职业技术学院	Gansu forestry vocational and technical college
甘肃工业职业技术学院	Gansu institute of industrial technology
武威职业学院	Wuwei vocational college
甘肃交通职业技术学院	Gansu jiaotong vocational and technical college
兰州资源环境职业技术学院	Lanzhou college of resources and environment
甘肃农业职业技术学院	Gansu agricultural vocational technical college
甘肃畜牧工程职业技术学院	Gansu animal husbandry engineering vocational and technical college
甘肃钢铁职业技术学院	Gansu iron and steel vocational and technical college
甘肃机电职业技术学院	Gansu institute of mechanical and electrical technology
甘肃有色冶金职业技术学院	Gansu vocational technical college of nonferrous metallurgy
白银矿冶职业技术学院	College of silver mining and metallurgy
甘肃卫生职业学院	Gansu health vocational college
兰州科技职业学院	Lanzhou university of science and technology
临夏现代职业学院	Linxia modern vocational college
青海卫生职业技术学院	Qinghai health vocational and technical college
青海警官职业学院	Qinghai police vocational college
青海畜牧兽医职业技术学院	Qinghai animal husbandry and veterinary technical college
青海交通职业技术学院	Qinghai jiaotong vocational and technical college
青海建筑职业技术学院	Qinghai institute of construction technology
西宁城市职业技术学院	Xining city vocational and technical college
青海高等职业技术学院	Qinghai institute of higher vocational technology
青海柴达木职业技术学院	Qinghai qaidam vocational and technical college
宁夏民族职业技术学院	Ningxia institute of ethnic vocational technology
宁夏工业职业学院	Ningxia institute of technology
宁夏职业技术学院	Ningxia institute of vocational technology
宁夏工商职业技术学院	Ningxia institute of business and technology
宁夏建设职业技术学院	Ningxia construction vocational and technical college
和田师范专科学校	Hetian normal college
新疆农业职业技术学院	Xinjiang vocational college of agriculture
乌鲁木齐职业大学	Urumqi vocational university
克拉玛依职业技术学院	Karamay vocational and technical college
新疆轻工职业技术学院	Xinjiang light industry vocational and technical college
昌吉职业技术学院	Changji vocational and technical college
伊犁职业技术学院	Yili vocational and technical college
阿克苏职业技术学院	Aksu vocational and technical college
巴音郭楞职业技术学院	Ba yin-guo leng vocational and technical college
新疆建设职业技术学院	Xinjiang construction vocational and technical college
新疆天山职业技术学院	Xinjiang tianshan vocational and technical college
新疆交通职业技术学院	Xinjiang traffic vocational and technical college
新疆石河子职业技术学院	Xinjiang shihezi vocational and technical college
新疆应用职业技术学院	Xinjiang institute of applied vocational technology
新疆师范高等专科学校	Xinjiang normal university
哈密职业技术学院	Hami vocational and technical college
